"id","sku","url","date","price","is_instant"
1607148,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/14",2500000.00,false
1607149,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/15",2300000.00,false
1607150,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/16",2300000.00,false
1607151,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/17",2300000.00,false
1607152,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/18",2300000.00,false
1607153,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/19",2500000.00,false
1607154,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/20",4400000.00,false
1607155,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/21",2500000.00,false
1607156,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/22",2300000.00,false
1607157,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/23",2300000.00,false
1607160,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/24",2300000.00,false
